Issue Id,Issue Type,Summary,Description,Status,Priority,Sprint,Story Points,Parent,Labels,Labels,Labels,Labels
US-028,Story,Ticket PDF de respaldo,"Como sistema, quiero generar un ticket PDF descargable tras cada préstamo y devolución para que el usuario tenga respaldo (RF.10, RC.07).

**Criterios de aceptación**
- notification-svc consume loan.issued y loan.returned.
- Genera PDF con PDFKit (logo, ticketId, items, fecha, firma del Pañolero).
- Adjunta al evento de notificación.
- Descargable desde portal y desde la bandeja.",To Do,Medium,Sprint 1,5,EPIC-05,team:B,tipo:negocio,RF:RF.10,
US-029,Story,Notificaciones in-app por WebSocket,"Como usuario, quiero recibir notificaciones en tiempo real cuando cambia el estado de mi solicitud o préstamo para enterarme sin recargar.

**Criterios de aceptación**
- Socket.IO en api-gateway.
- notification-svc empuja evento al gateway.
- Cliente portal y tótem muestra toast + actualiza bandeja.
- Reconexión automática.",To Do,Medium,Sprint 1,5,EPIC-05,team:B,tipo:tecnica,,
US-030,Story,Bandeja persistente in-app,"Como usuario, quiero ver mis notificaciones leídas y no leídas desde el portal y poder marcarlas como leídas para gestionar mi información (RF.10).

**Criterios de aceptación**
- Tabla notifications en notification-svc con TTL 90 días.
- UI portal con paginación, filtros (no leídas) y marcar todas.
- Contador en header.",To Do,Medium,Sprint 1,3,EPIC-05,team:B,tipo:negocio,RF:RF.10,
US-031,Story,Historial personal de solicitudes y préstamos,"Como Alumno o Docente, quiero ver mi historial de los últimos 24 meses para revisar mis solicitudes pasadas (RF-C.11).

**Criterios de aceptación**
- UI portal /historial con tabla y filtros (estado, fecha, tipo).
- Backend: agrega request-svc + loan-svc.
- Pagina con cursor.
- Solo el propio usuario puede ver el suyo.",To Do,Medium,Sprint 1,5,EPIC-07,team:B,tipo:negocio,RF:RF-C.11,
US-032,Story,Asistente conversacional - tools básicas,"Como Alumno o Docente, quiero conversar con un asistente para preguntarle qué hay disponible y armar mi solicitud sin conocer el catálogo de memoria (RF-C.03).

**Criterios de aceptación**
- ai-assistant-svc con servidor MCP.
- Tools: consultar_inventario, validar_disponibilidad, crear_solicitud_borrador.
- Cliente OpenAI function calling.
- UI chat embebido en portal.
- Memoria conversacional 7 días.
- Borrador siempre requiere confirmación explícita del usuario.",To Do,Medium,Sprint 1,13,EPIC-03,team:B,tipo:negocio,RF:RF-C.03,
US-033,Story,Solicitud en nombre de otro usuario,"Como Pañolero (en tótem) o Coordinador (en portal), quiero crear una solicitud a nombre de un Alumno o Docente que no puede generarla por sí mismo para no bloquear su retiro (RF-C.13).

**Criterios de aceptación**
- Buscador de usuario en formulario de solicitud.
- Solicitud queda asociada al documento del solicitante.
- Flag creada_por_operador=true y operador_id registrado.
- Notificación al solicitante de que se creó en su nombre.",To Do,Medium,Sprint 1,5,EPIC-10,team:A,tipo:negocio,RF:RF-C.13,
US-034,Story,Modelo de scoring de riesgo entrenado,"Como ai-risk-svc, quiero un modelo Random Forest entrenado offline en scikit-learn y exportado a ONNX para servir scoring con baja latencia (RF-C.02, RC.11).

**Criterios de aceptación**
- Notebook de entrenamiento con datos sintéticos.
- Modelo ONNX en libs/risk-model/.
- onnxruntime-node en ai-risk-svc.
- Endpoint AMQP risk.score con timeout 1.5s.
- Test con 5 perfiles de usuario.",To Do,Medium,Sprint 2,13,EPIC-03,team:B,tipo:negocio,RF:RF-C.02,
US-035,Story,Aplicar score en flujo de solicitud,"Como request-svc, quiero consultar score antes de aceptar la solicitud y aplicar las acciones por umbral para reducir morosidad preventivamente (RC.11).

**Criterios de aceptación**
- score<0.4 acepta normal.
- 0.4-0.7 marca flag riesgo_medio en tótem.
- ≥0.7 rechaza con drivers como explicación.
- Umbrales configurables por Jefe.
- Fallback a score 0.5 si timeout.",To Do,Medium,Sprint 2,5,EPIC-03,team:B,tipo:negocio,RF:RC.11,
US-036,Story,Préstamo Especial multi-día,"Como Docente, quiero solicitar un préstamo Especial multi-día para llevar un equipo a una clase fuera del horario normal (RF-C.05, RC.02).

**Criterios de aceptación**
- UI portal opción tipo_prestamo=ESPECIAL_MULTIDIA.
- Campos adicionales: fecha_inicio, fecha_fin, motivo.
- Estado adicional Pendiente_Aprobacion.
- Validación: solo Docente puede solicitar autónomamente; Alumno requiere patrocinador (Docente o Coord).",To Do,Medium,Sprint 2,8,EPIC-10,team:A,tipo:negocio,RF:RF-C.05,
US-037,Story,Aprobación de préstamos Especiales,"Como Coord o Jefe, quiero aprobar o rechazar los préstamos Especiales pendientes para autorizar el uso multi-día (RF-C.05).

**Criterios de aceptación**
- Bandeja UI Administración → Pendientes.
- Acción aprobar/rechazar con motivo.
- Si aprueba, transita a Reservada y aplica TTL extendido (configurable).
- Notificación al solicitante.",To Do,Medium,Sprint 2,5,EPIC-10,team:A,tipo:negocio,RF:RF-C.05,
US-038,Story,Alerta automática de morosos,"Como sistema, quiero detectar préstamos atrasados y emitir loan.overdue para alertar a quienes corresponda (RF.11).

**Criterios de aceptación**
- Job en loan-svc que cada 5 min detecta fechaLimite < now y estado=Activo.
- Publica loan.overdue una vez por préstamo.
- notification-svc avisa al usuario y al Coord como observador.",To Do,Medium,Sprint 2,5,EPIC-02,team:A,tipo:negocio,RF:RF.11,
US-039,Story,Bloqueo automático por regla RC.01,"Como sistema, quiero bloquear automáticamente al usuario al detectar el tercer atraso del semestre para hacer cumplir la política (RF.14, RC.01).

**Criterios de aceptación**
- loan-svc cuenta atrasos por usuario en ventana semestral.
- Al alcanzar el umbral, publica solicitud de bloqueo.
- auth-svc persiste user.blocked con reason=MOROSIDAD_AUTOMATICA.
- Notificación al usuario y al Coord.",To Do,Medium,Sprint 2,8,EPIC-02,team:A,tipo:negocio,RF:RF.14,
US-040,Story,Bloqueo manual de morosos,"Como Coord (alumnos y docentes) o Pañolero (solo alumnos), quiero bloquear o desbloquear con motivo obligatorio para gestionar casos especiales (RC.10, RC.08, RS-CC.3, RS-PN.6).

**Criterios de aceptación**
- UI Administración → Usuarios con acción Bloquear/Desbloquear.
- Motivo obligatorio.
- Auditoría con operador_id y timestamp.
- Pañolero no ve la opción para Docentes ni Admin.",To Do,Medium,Sprint 2,3,EPIC-02,team:A,tipo:negocio,RF:RC.10,
US-041,Story,Alerta automática de stock bajo,"Como sistema, quiero emitir alerta cuando el stock cruce el umbral configurado para que la administración reponga a tiempo (RF.12, RS.1).

**Criterios de aceptación**
- inventory-svc evalúa al cambiar stock.
- Publica stock.low con nivel.
- Histéresis: una alerta por transición descendente, no spam.
- notification-svc avisa a Jefe, Coord y Pañolero.",To Do,Medium,Sprint 2,5,EPIC-02,team:B,tipo:negocio,RF:RF.12,
US-042,Story,Niveles Normal/Bajo/Crítico de stock,"Como sistema, quiero clasificar el stock en tres niveles configurables por recurso para diferenciar la urgencia (RC.05).

**Criterios de aceptación**
- Cada recurso tiene umbral_bajo y umbral_critico.
- UI muestra el nivel con color.
- Solo Crítico genera notificación urgente.
- Default global configurable.",To Do,Medium,Sprint 2,3,EPIC-04,team:B,tipo:negocio,RF:RC.05,
US-043,Story,Reportes operativos del día (Pañolero),"Como Pañolero, quiero ver los préstamos abiertos del día y los pendientes de devolución para gestionar mi turno (RF.9, RS-PN.5).

**Criterios de aceptación**
- Dashboard tótem con préstamos del día filtrables por estado.
- Suma de préstamos atrasados.
- Refresco automático cada 30s.",To Do,Medium,Sprint 2,3,EPIC-09,team:B,tipo:negocio,RF:RF.9,
US-044,Story,Reportes de gestión (Jefe / Coord),"Como Jefe o Coord, quiero ver reportes de recursos más solicitados, tasas de pérdida, morosidad y stock crítico para tomar decisiones (RF.13, RF.9b, RS-JC.4, RS-CC.4).

**Criterios de aceptación**
- 5 reportes mínimos: top recursos, morosos, stock crítico, devoluciones con daño, tasa de incumplimiento.
- Filtros por rango de fecha y carrera.
- Export CSV.
- UI portal sección Reportes.",To Do,Medium,Sprint 2,8,EPIC-09,team:B,tipo:negocio,RF:RF.13,
US-045,Story,Configurar parámetros operativos,"Como Jefe, quiero configurar TTL de reserva, umbrales de stock, ventana semestral y umbrales de scoring sin requerir despliegue (RS-JC.5).

**Criterios de aceptación**
- Tabla parametros_operativos con auditoría de cambios.
- UI Administración → Parámetros.
- Cambio surte efecto sin reiniciar.
- Test de cada parámetro respetado por el servicio correspondiente.",To Do,Medium,Sprint 2,5,EPIC-02,team:A,tipo:negocio,RF:RS-JC.5,
US-046,Story,Asistente: sugerir recursos por actividad,"Como Alumno, quiero pedirle al asistente recursos para una actividad concreta (por ejemplo práctica de redes capa 2) y recibir sugerencias para no investigar el catálogo manualmente (RF-C.03).

**Criterios de aceptación**
- Tool sugerir_recursos_por_actividad alimentada con tabla actividades_recursos curada por Pañolero.
- RAG simple sobre la tabla.
- Respuesta cita los ítems sugeridos.",To Do,Medium,Sprint 2,5,EPIC-03,team:B,tipo:negocio,RF:RF-C.03,
US-047,Story,Asistente con guardrail de moroso,"Como sistema, quiero que el asistente se niegue a ayudar a un usuario bloqueado por morosidad para coherencia con la regla RC.15.

**Criterios de aceptación**
- Servidor MCP rechaza tools de escritura si user.blocked.
- Mensaje al usuario explicando la causa y derivando al Coord.
- Test con usuario bloqueado y no bloqueado.",To Do,Medium,Sprint 2,3,EPIC-03,team:B,tipo:negocio,RF:RC.15,
US-048,Story,Dead Letter Channel + reconciliación nocturna,"Como sistema, quiero capturar mensajes muertos y reconciliar stock vs préstamos abiertos cada noche para detectar inconsistencias (EIP).

**Criterios de aceptación**
- Exchange domain.dlx fanout y cola audit.dead-letters.
- Servicio audit-svc o módulo en notification-svc persiste mensajes muertos.
- Job nocturno en inventory-svc compara stock vs loans abiertos.
- Discrepancias generan alerta in-app al Jefe.",To Do,Medium,Sprint 2,5,EPIC-06,team:A,tipo:tecnica,,
US-049,Story,Observabilidad: OpenTelemetry + Grafana,"Como equipo, quiero tener trazas distribuidas, logs estructurados y métricas básicas para debuggear y mostrar la cadena de eventos en mesa redonda.

**Criterios de aceptación**
- OpenTelemetry SDK en cada servicio.
- Propagación de trace-id por headers AMQP.
- Grafana con dashboards de Tempo y Loki.
- Demo: una solicitud completa visible como traza única.",To Do,Medium,Sprint 2,5,EPIC-06,team:B,tipo:tecnica,,
US-050,Story,Auditoría de acciones sensibles,"Como Jefe o auditor, quiero ver un log inmutable de toda acción sensible (login, bloqueo, materialización, baja, cambio de parámetro) para cumplir con la trazabilidad (RC.13, RC.14).

**Criterios de aceptación**
- Tabla audit_log append-only con tipo, actor, sujeto, payload-resumen, timestamp.
- Cada servicio publica audit.event.
- audit-svc consume y persiste.
- UI Administración → Auditoría con filtros.",To Do,Medium,Sprint 2,5,EPIC-02,team:A,tipo:negocio,,
