ref,subject,description,status,is_closed,tags,user_story_points,milestone
US-025,"Registrar préstamos y devoluciones","Como Pañolero, quiero registrar la devolución de un préstamo consignando el estado de cada recurso para cerrar el ciclo (RF.8, RC.17).\n\n**Criterios de aceptación**\n- UI tótem busca préstamo por documento o ticketId.\n- Para cada ítem: estado OK, DAÑADO, FALTANTE.\n- loan-svc emite loan.returned y stock.lost si corresponde.\n- inventory-svc reabre o decrementa stock según el caso.","New",false,"epic:prestamos,team:A,tipo:negocio,sprint:1,RF:RF.8",8,Sprint 1
US-026,"Préstamo parcial","Como Pañolero, quiero materializar una solicitud entregando menos unidades de las solicitadas si solo hay parte disponible para que el flujo no se bloquee (RF-C.06).\n\n**Criterios de aceptación**\n- En la pantalla de validación, ajustar cantidad por ítem.\n- loan-svc registra cantidad efectiva.\n- Solicitud transita a Materializada_Parcial.\n- Diferencia se libera de la reserva, no se cuenta como pérdida.","New",false,"epic:prestamos,team:A,tipo:negocio,sprint:1,RF:RF-C.06",5,Sprint 1
US-027,"Estados de devolución (OK/Dañado/Faltante)","Como Pañolero, quiero clasificar cada recurso devuelto para que el inventario refleje pérdidas y daños reales (RF-C.07, RC.17, RC.18).\n\n**Criterios de aceptación**\n- 3 estados disponibles en UI tótem.\n- DAÑADO transiciona el recurso a En_Mantencion.\n- FALTANTE publica stock.lost y registra contra historial del usuario.\n- OK reabre stock disponible.","New",false,"epic:prestamos,team:A,tipo:negocio,sprint:1,RF:RF-C.07",5,Sprint 1
US-028,"Ticket PDF de respaldo","Como sistema, quiero generar un ticket PDF descargable tras cada préstamo y devolución para que el usuario tenga respaldo (RF.10, RC.07).\n\n**Criterios de aceptación**\n- notification-svc consume loan.issued y loan.returned.\n- Genera PDF con PDFKit (logo, ticketId, items, fecha, firma del Pañolero).\n- Adjunta al evento de notificación.\n- Descargable desde portal y desde la bandeja.","New",false,"epic:notificaciones,team:B,tipo:negocio,sprint:1,RF:RF.10",5,Sprint 1
US-029,"Notificaciones in-app por WebSocket","Como usuario, quiero recibir notificaciones en tiempo real cuando cambia el estado de mi solicitud o préstamo para enterarme sin recargar.\n\n**Criterios de aceptación**\n- Socket.IO en api-gateway.\n- notification-svc empuja evento al gateway.\n- Cliente portal y tótem muestra toast + actualiza bandeja.\n- Reconexión automática.","New",false,"epic:notificaciones,team:B,tipo:tecnica,sprint:1",5,Sprint 1
US-030,"Bandeja persistente in-app","Como usuario, quiero ver mis notificaciones leídas y no leídas desde el portal y poder marcarlas como leídas para gestionar mi información (RF.10).\n\n**Criterios de aceptación**\n- Tabla notifications en notification-svc con TTL 90 días.\n- UI portal con paginación, filtros (no leídas) y marcar todas.\n- Contador en header.","New",false,"epic:notificaciones,team:B,tipo:negocio,sprint:1,RF:RF.10",3,Sprint 1
US-031,"Historial personal de solicitudes y préstamos","Como Alumno o Docente, quiero ver mi historial de los últimos 24 meses para revisar mis solicitudes pasadas (RF-C.11).\n\n**Criterios de aceptación**\n- UI portal /historial con tabla y filtros (estado, fecha, tipo).\n- Backend: agrega request-svc + loan-svc.\n- Pagina con cursor.\n- Solo el propio usuario puede ver el suyo.","New",false,"epic:portal,team:B,tipo:negocio,sprint:1,RF:RF-C.11",5,Sprint 1
US-032,"Asistente conversacional - tools básicas","Como Alumno o Docente, quiero conversar con un asistente para preguntarle qué hay disponible y armar mi solicitud sin conocer el catálogo de memoria (RF-C.03).\n\n**Criterios de aceptación**\n- ai-assistant-svc con servidor MCP.\n- Tools: consultar_inventario, validar_disponibilidad, crear_solicitud_borrador.\n- Cliente OpenAI function calling.\n- UI chat embebido en portal.\n- Memoria conversacional 7 días.\n- Borrador siempre requiere confirmación explícita del usuario.","New",false,"epic:ia,team:B,tipo:negocio,sprint:1,RF:RF-C.03",13,Sprint 1
US-033,"Solicitud en nombre de otro usuario","Como Pañolero (en tótem) o Coordinador (en portal), quiero crear una solicitud a nombre de un Alumno o Docente que no puede generarla por sí mismo para no bloquear su retiro (RF-C.13).\n\n**Criterios de aceptación**\n- Buscador de usuario en formulario de solicitud.\n- Solicitud queda asociada al documento del solicitante.\n- Flag creada_por_operador=true y operador_id registrado.\n- Notificación al solicitante de que se creó en su nombre.","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:1,RF:RF-C.13",5,Sprint 1
US-034,"Modelo de scoring de riesgo entrenado","Como ai-risk-svc, quiero un modelo Random Forest entrenado offline en scikit-learn y exportado a ONNX para servir scoring con baja latencia (RF-C.02, RC.11).\n\n**Criterios de aceptación**\n- Notebook de entrenamiento con datos sintéticos.\n- Modelo ONNX en libs/risk-model/.\n- onnxruntime-node en ai-risk-svc.\n- Endpoint AMQP risk.score con timeout 1.5s.\n- Test con 5 perfiles de usuario.","New",false,"epic:ia,team:B,tipo:negocio,sprint:2,RF:RF-C.02",13,Sprint 2
US-035,"Aplicar score en flujo de solicitud","Como request-svc, quiero consultar score antes de aceptar la solicitud y aplicar las acciones por umbral para reducir morosidad preventivamente (RC.11).\n\n**Criterios de aceptación**\n- score<0.4 acepta normal.\n- 0.4-0.7 marca flag riesgo_medio en tótem.\n- ≥0.7 rechaza con drivers como explicación.\n- Umbrales configurables por Jefe.\n- Fallback a score 0.5 si timeout.","New",false,"epic:ia,team:B,tipo:negocio,sprint:2,RF:RC.11",5,Sprint 2
US-036,"Préstamo Especial multi-día","Como Docente, quiero solicitar un préstamo Especial multi-día para llevar un equipo a una clase fuera del horario normal (RF-C.05, RC.02).\n\n**Criterios de aceptación**\n- UI portal opción tipo_prestamo=ESPECIAL_MULTIDIA.\n- Campos adicionales: fecha_inicio, fecha_fin, motivo.\n- Estado adicional Pendiente_Aprobacion.\n- Validación: solo Docente puede solicitar autónomamente; Alumno requiere patrocinador (Docente o Coord).","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:2,RF:RF-C.05",8,Sprint 2
US-037,"Aprobación de préstamos Especiales","Como Coord o Jefe, quiero aprobar o rechazar los préstamos Especiales pendientes para autorizar el uso multi-día (RF-C.05).\n\n**Criterios de aceptación**\n- Bandeja UI Administración → Pendientes.\n- Acción aprobar/rechazar con motivo.\n- Si aprueba, transita a Reservada y aplica TTL extendido (configurable).\n- Notificación al solicitante.","New",false,"epic:solicitudes,team:A,tipo:negocio,sprint:2,RF:RF-C.05",5,Sprint 2
US-038,"Alerta automática de morosos","Como sistema, quiero detectar préstamos atrasados y emitir loan.overdue para alertar a quienes corresponda (RF.11).\n\n**Criterios de aceptación**\n- Job en loan-svc que cada 5 min detecta fechaLimite < now y estado=Activo.\n- Publica loan.overdue una vez por préstamo.\n- notification-svc avisa al usuario y al Coord como observador.","New",false,"epic:gestion,team:A,tipo:negocio,sprint:2,RF:RF.11",5,Sprint 2
US-039,"Bloqueo automático por regla RC.01","Como sistema, quiero bloquear automáticamente al usuario al detectar el tercer atraso del semestre para hacer cumplir la política (RF.14, RC.01).\n\n**Criterios de aceptación**\n- loan-svc cuenta atrasos por usuario en ventana semestral.\n- Al alcanzar el umbral, publica solicitud de bloqueo.\n- auth-svc persiste user.blocked con reason=MOROSIDAD_AUTOMATICA.\n- Notificación al usuario y al Coord.","New",false,"epic:gestion,team:A,tipo:negocio,sprint:2,RF:RF.14",8,Sprint 2
US-040,"Bloqueo manual de morosos","Como Coord (alumnos y docentes) o Pañolero (solo alumnos), quiero bloquear o desbloquear con motivo obligatorio para gestionar casos especiales (RC.10, RC.08, RS-CC.3, RS-PN.6).\n\n**Criterios de aceptación**\n- UI Administración → Usuarios con acción Bloquear/Desbloquear.\n- Motivo obligatorio.\n- Auditoría con operador_id y timestamp.\n- Pañolero no ve la opción para Docentes ni Admin.","New",false,"epic:gestion,team:A,tipo:negocio,sprint:2,RF:RC.10",3,Sprint 2
US-041,"Alerta automática de stock bajo","Como sistema, quiero emitir alerta cuando el stock cruce el umbral configurado para que la administración reponga a tiempo (RF.12, RS.1).\n\n**Criterios de aceptación**\n- inventory-svc evalúa al cambiar stock.\n- Publica stock.low con nivel.\n- Histéresis: una alerta por transición descendente, no spam.\n- notification-svc avisa a Jefe, Coord y Pañolero.","New",false,"epic:gestion,team:B,tipo:negocio,sprint:2,RF:RF.12",5,Sprint 2
US-042,"Niveles Normal/Bajo/Crítico de stock","Como sistema, quiero clasificar el stock en tres niveles configurables por recurso para diferenciar la urgencia (RC.05).\n\n**Criterios de aceptación**\n- Cada recurso tiene umbral_bajo y umbral_critico.\n- UI muestra el nivel con color.\n- Solo Crítico genera notificación urgente.\n- Default global configurable.","New",false,"epic:inventario,team:B,tipo:negocio,sprint:2,RF:RC.05",3,Sprint 2
US-043,"Reportes operativos del día (Pañolero)","Como Pañolero, quiero ver los préstamos abiertos del día y los pendientes de devolución para gestionar mi turno (RF.9, RS-PN.5).\n\n**Criterios de aceptación**\n- Dashboard tótem con préstamos del día filtrables por estado.\n- Suma de préstamos atrasados.\n- Refresco automático cada 30s.","New",false,"epic:reportes,team:B,tipo:negocio,sprint:2,RF:RF.9",3,Sprint 2
US-044,"Reportes de gestión (Jefe / Coord)","Como Jefe o Coord, quiero ver reportes de recursos más solicitados, tasas de pérdida, morosidad y stock crítico para tomar decisiones (RF.13, RF.9b, RS-JC.4, RS-CC.4).\n\n**Criterios de aceptación**\n- 5 reportes mínimos: top recursos, morosos, stock crítico, devoluciones con daño, tasa de incumplimiento.\n- Filtros por rango de fecha y carrera.\n- Export CSV.\n- UI portal sección Reportes.","New",false,"epic:reportes,team:B,tipo:negocio,sprint:2,RF:RF.13",8,Sprint 2
US-045,"Configurar parámetros operativos","Como Jefe, quiero configurar TTL de reserva, umbrales de stock, ventana semestral y umbrales de scoring sin requerir despliegue (RS-JC.5).\n\n**Criterios de aceptación**\n- Tabla parametros_operativos con auditoría de cambios.\n- UI Administración → Parámetros.\n- Cambio surte efecto sin reiniciar.\n- Test de cada parámetro respetado por el servicio correspondiente.","New",false,"epic:gestion,team:A,tipo:negocio,sprint:2,RF:RS-JC.5",5,Sprint 2
US-046,"Asistente: sugerir recursos por actividad","Como Alumno, quiero pedirle al asistente recursos para una actividad concreta (por ejemplo práctica de redes capa 2) y recibir sugerencias para no investigar el catálogo manualmente (RF-C.03).\n\n**Criterios de aceptación**\n- Tool sugerir_recursos_por_actividad alimentada con tabla actividades_recursos curada por Pañolero.\n- RAG simple sobre la tabla.\n- Respuesta cita los ítems sugeridos.","New",false,"epic:ia,team:B,tipo:negocio,sprint:2,RF:RF-C.03",5,Sprint 2
US-047,"Asistente con guardrail de moroso","Como sistema, quiero que el asistente se niegue a ayudar a un usuario bloqueado por morosidad para coherencia con la regla RC.15.\n\n**Criterios de aceptación**\n- Servidor MCP rechaza tools de escritura si user.blocked.\n- Mensaje al usuario explicando la causa y derivando al Coord.\n- Test con usuario bloqueado y no bloqueado.","New",false,"epic:ia,team:B,tipo:negocio,sprint:2,RF:RC.15",3,Sprint 2
US-048,"Dead Letter Channel + reconciliación nocturna","Como sistema, quiero capturar mensajes muertos y reconciliar stock vs préstamos abiertos cada noche para detectar inconsistencias (EIP).\n\n**Criterios de aceptación**\n- Exchange domain.dlx fanout y cola audit.dead-letters.\n- Servicio audit-svc o módulo en notification-svc persiste mensajes muertos.\n- Job nocturno en inventory-svc compara stock vs loans abiertos.\n- Discrepancias generan alerta in-app al Jefe.","New",false,"epic:plataforma,team:A,tipo:tecnica,sprint:2",5,Sprint 2
US-049,"Observabilidad: OpenTelemetry + Grafana","Como equipo, quiero tener trazas distribuidas, logs estructurados y métricas básicas para debuggear y mostrar la cadena de eventos en mesa redonda.\n\n**Criterios de aceptación**\n- OpenTelemetry SDK en cada servicio.\n- Propagación de trace-id por headers AMQP.\n- Grafana con dashboards de Tempo y Loki.\n- Demo: una solicitud completa visible como traza única.","New",false,"epic:plataforma,team:B,tipo:tecnica,sprint:2",5,Sprint 2
US-050,"Auditoría de acciones sensibles","Como Jefe o auditor, quiero ver un log inmutable de toda acción sensible (login, bloqueo, materialización, baja, cambio de parámetro) para cumplir con la trazabilidad (RC.13, RC.14).\n\n**Criterios de aceptación**\n- Tabla audit_log append-only con tipo, actor, sujeto, payload-resumen, timestamp.\n- Cada servicio publica audit.event.\n- audit-svc consume y persiste.\n- UI Administración → Auditoría con filtros.","New",false,"epic:gestion,team:A,tipo:negocio,sprint:2",5,Sprint 2
